RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID,REGION_dirty,ST_dirty,CIT_dirty,NATIVITY_dirty,RAC1P_dirty,RAC2P_dirty,POBP_dirty,WAOB_dirty
6,2,4,6,4,2,2,9,45,233,4,357185,,,,,4,,,
6,1,1,36,4,2,2,2,43,207,4,1941057,,,,,,,,
6,1,3,51,4,2,1,5,55,238,4,3051562,9,,,,,20,,
9,1,4,6,4,2,2,9,68,314,3,522411,,,,,2,,,
6,1,4,6,4,2,2,9,45,233,4,249156,,,,,9,,,
6,2,3,48,4,2,2,7,43,207,4,2737811,,,5,,,,,
6,2,3,12,4,2,2,5,38,210,4,798828,,,,,2,,,
9,1,3,48,5,2,2,7,68,303,3,2756064,,,,,,,,
8,1,3,24,5,2,2,5,67,312,3,1373653,,,,,,,,
8,2,3,37,5,2,2,5,67,314,3,2147037,,,,,,,,7
6,2,1,36,4,2,2,2,59,223,4,2048113,,,,,,,,
1,2,3,12,4,2,2,5,1,164,5,810406,,,5,,,,,
8,1,4,53,5,2,2,9,67,303,3,3139264,,,,,,,,
8,2,4,6,5,2,2,9,67,303,3,510378,,,,,6,,,
9,2,3,12,4,2,2,5,68,370,3,683524,,,,,,,,
8,1,4,6,4,2,2,9,67,303,3,302305,,,,,,,,
6,1,4,6,5,2,2,9,57,247,4,403553,,,,,,,,
9,2,4,6,4,2,1,9,68,303,3,305805,,,,,,57,,
8,1,4,32,5,2,2,8,67,312,3,1777587,,,,,,50,,
6,2,3,24,4,2,2,5,38,210,4,1360995,,,,,,,,
6,1,4,6,4,2,2,9,45,233,4,350486,,,,,,,,
6,2,1,34,5,2,2,2,58,253,4,1888375,9,,,,5,,,
6,1,4,49,5,2,2,8,38,210,4,2977624,,4,,,3,53,,
6,2,4,6,4,2,1,9,43,207,4,335195,,,,,,67,,
1,2,3,12,5,2,1,5,1,102,5,820563,,,,,,,,4
8,2,4,6,5,2,2,9,67,303,3,282999,,24,,,,,,
1,2,3,48,4,2,2,7,1,212,4,2717904,1,,,,,27,,
2,1,1,36,4,2,2,2,2,316,3,1965157,,,,,,,,
1,2,3,48,4,2,2,7,1,303,3,2710657,2,35,,,,16,,
6,2,4,6,4,2,1,9,46,223,4,297075,,1,,,,,,
2,2,1,34,5,2,2,2,2,460,6,1826364,,39,,,,9,,
6,2,1,42,4,2,2,2,56,242,4,2518633,,,,,,,,
9,2,4,6,5,2,1,9,68,303,3,171876,,,,,,,,
9,1,2,39,4,2,2,3,68,214,4,2267032,,,3,,,,,
1,2,3,48,4,2,2,7,1,303,3,2937314,,,,,6,,,
9,1,4,32,4,2,2,8,68,327,3,1764425,,,,,,,,
6,1,2,29,4,2,2,4,45,233,4,1662886,,,,,2,,,6
6,1,4,6,4,2,2,9,49,217,4,237171,9,,,,,,,7
8,2,1,36,5,2,2,2,67,365,3,1993143,,,,,,,,
6,1,4,4,4,2,2,8,38,508,8,67789,,,,,,15,,
9,1,3,48,5,2,2,7,68,303,3,2934070,,,3,,3,,,
9,1,1,36,4,2,1,2,68,368,3,1978406,,,,,,,,
6,2,4,6,5,2,2,9,48,215,4,249456,,,,,,,,
6,2,4,6,4,2,2,9,45,233,4,491622,,,5,,,,,
6,2,4,15,4,2,2,9,43,207,4,958215,,,,,,,,
6,2,1,36,5,2,2,2,39,202,4,2004467,,,,,,48,,1
9,2,4,6,4,2,1,9,68,303,3,341961,,,,,,,,
8,1,4,6,5,2,2,9,67,313,3,307632,,,,,,,,
6,1,4,6,4,2,2,9,44,240,4,255346,,,,1,,,,
3,2,1,9,5,2,2,1,16,303,3,606959,,,,,,,,
6,2,4,15,4,2,2,9,45,233,4,955556,,72,,,,,,
6,2,1,34,4,2,2,2,38,210,4,1866890,,,3,1,,,,
6,2,4,6,5,2,2,9,38,210,4,326919,,,,,,,142,
2,1,3,48,5,2,1,7,2,440,6,2828449,,,,,3,,,
6,2,3,48,5,2,2,7,43,207,4,2878826,,,,1,,,,
9,2,4,6,4,2,1,9,68,303,3,367144,,,,,,32,,
9,2,1,36,5,2,2,2,68,329,3,1955610,,,,,,,,
6,1,4,6,4,2,2,9,57,247,4,165372,,,,,3,,,
9,1,3,22,4,2,2,7,68,312,3,1290368,9,,,,,,,
1,1,2,39,4,2,2,3,1,212,4,2336444,,,,1,,,,
8,1,4,6,5,2,2,9,67,303,3,214302,2,,,,9,,,
1,1,4,6,5,2,2,9,1,301,7,319661,,,,,4,,,
6,2,1,36,4,2,2,2,43,207,4,1961509,,,,,,,314,
8,1,1,34,5,2,2,2,67,314,3,1854431,,72,,,7,,42,
9,1,3,12,4,2,2,5,68,327,3,776339,,,5,,,,,
2,2,3,12,5,2,2,5,2,332,3,814091,,,,,,18,,
9,1,3,48,5,2,2,7,68,327,3,2823345,,,,,8,,,
1,2,1,36,4,2,2,2,1,100,5,1923155,,,,,,,,2
8,1,1,36,5,2,2,2,67,303,3,2015161,,,,,,,,
1,2,1,36,4,2,1,2,1,222,4,1967571,,,,,,,210,
6,1,4,6,4,2,2,9,59,247,4,488604,,,,1,,,,
8,2,1,36,5,2,2,2,67,329,3,2093081,3,,,,7,39,,
8,2,3,37,4,2,2,5,67,316,3,2128130,,,1,1,,63,,
8,1,1,36,4,2,2,2,67,310,3,1930131,,,,,,9,,6
6,1,2,18,5,2,2,3,54,231,4,1150777,,,,,9,10,,
6,2,3,48,4,2,2,7,38,210,4,2817014,,,1,,,33,,
6,2,1,34,5,2,2,2,49,217,4,1821070,,,,1,,17,,
6,1,4,6,5,2,2,9,38,210,4,503986,,,2,,,62,,
1,2,4,56,5,2,2,8,1,164,5,3241835,,,,,,,,
6,1,3,12,4,2,2,5,38,210,4,829316,,,3,,,,,
1,2,4,6,4,2,2,9,1,139,5,441869,,53,,,,,,
1,1,1,36,4,2,1,2,1,414,6,2086278,,,,,,,,
2,1,3,37,4,2,1,5,2,333,3,2128745,,,,,5,,,
2,1,3,24,4,2,2,5,2,416,6,1351317,4,,,,,,,
9,2,3,22,5,2,2,7,68,314,3,1312268,,,,,,,,6
6,2,4,6,4,2,2,9,43,207,4,220294,,,,,5,,,
1,2,2,17,4,2,2,3,1,132,5,1006284,,,,,,,,
2,2,3,48,5,2,2,7,2,460,6,2695299,,,,,,,,
6,1,4,6,4,2,2,9,38,210,4,396234,,,,,7,,,
9,2,4,6,4,2,2,9,68,303,3,261609,,10,,,2,,,
2,1,1,36,4,2,2,2,2,440,6,1942754,,13,5,1,,,,
6,2,4,6,4,2,2,9,45,233,4,214575,3,,,,,,,1
1,1,3,12,4,2,2,5,1,400,6,827555,,,,1,,33,,
9,1,3,48,4,2,2,7,68,303,3,2711251,,,,1,,,,
9,1,2,29,5,2,2,4,68,303,3,1662352,,,,,,10,,
9,1,4,6,5,2,2,9,68,303,3,348249,,,,,,,,
2,2,2,39,4,2,2,3,2,448,6,2252042,,,,,5,,,7
1,1,1,25,5,2,2,1,1,139,5,1468159,2,44,,,,,,6
9,2,3,48,4,2,2,7,68,303,3,2808188,,16,,,,,,
